robust, target, y_pred, time_setup, time_star, time_verify, line_number, file_path, y1, y2, y3, y4, y5, y6, y7, y8, y9, y10
1, 1, 1, 0.029338, 0.061724, 0.034522, 1, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0026.mat, 70.129128, -69.808289, 64.851021, 16.713888, -27.279943, 29.382544, -3.693422, -2.574194, -31.242453, 44.572830
1, 1, 1, 0.010454, 0.059296, 0.028279, 2, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0001.mat, 112.095795, -111.525642, 107.164124, 24.732317, -68.256996, 64.627121, -8.127777, 11.603613, -57.639313, 63.890179
1, 1, 1, 0.004988, 0.067413, 0.023973, 3, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0039.mat, 100.729118, -107.588486, 91.740532, 18.462566, -48.270275, 52.478962, 7.754155, 4.013506, -54.675766, 50.364292
1, 1, 1, 0.004947, 0.078388, 0.023012, 4, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0035.mat, 140.188797, -145.470551, 132.650131, 26.527159, -91.247337, 88.122353, 0.663629, 19.833471, -79.628799, 69.191956
1, 1, 1, 0.007537, 0.078043, 0.034014, 5, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0053.mat, 111.612823, -126.881332, 98.772652, 15.481234, -53.036541, 61.761936, 23.127144, 6.164560, -67.726311, 44.515308
1, 1, 1, 0.004481, 0.080716, 0.020429, 6, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0048.mat, 98.402023, -92.794411, 93.465836, 26.433584, -42.415318, 41.543232, -15.287965, -2.326122, -40.197304, 68.955658
1, 1, 1, 0.004504, 0.080571, 0.020123, 7, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0044.mat, 96.900314, -92.916245, 89.964523, 25.868101, -31.122118, 34.054588, -11.233471, -8.686766, -37.671158, 68.811600
1, 1, 1, 0.004323, 0.079053, 0.018519, 8, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0059.mat, 112.877731, -132.054657, 99.454033, 12.703286, -60.211830, 69.100563, 29.886938, 11.410025, -74.133575, 37.481709
1, 1, 1, 0.004253, 0.078843, 0.020147, 9, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0072.mat, 119.829704, -131.012268, 110.133926, 18.797338, -72.298340, 74.660004, 13.662075, 15.061613, -72.618752, 50.933933
1, 1, 1, 0.004319, 0.078849, 0.018911, 10, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0016.mat, 117.908142, -129.323090, 111.512108, 16.401932, -94.355103, 90.345665, 12.229064, 29.754597, -79.214661, 42.531643
1, 1, 1, 0.004233, 0.068093, 0.019170, 11, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0010.mat, 124.359344, -134.304596, 117.316261, 19.247202, -92.018867, 88.827652, 9.582398, 26.044773, -79.170120, 50.226498
1, 1, 1, 0.004279, 0.074768, 0.018138, 12, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0079.mat, 148.976425, -139.738510, 145.264114, 38.497223, -88.868965, 80.204300, -26.675791, 12.018454, -67.910255, 98.073509
1, 1, 1, 0.004698, 0.076725, 0.019427, 13, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0049.mat, 191.905518, -219.823959, 178.073929, 27.390289, -80.371216, 89.719589, 37.212543, -6.677159, -112.910606, 87.056679
1, 1, 1, 0.004223, 0.080719, 0.019233, 14, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0080.mat, 83.766510, -102.062447, 72.186378, 6.886489, -43.744930, 52.697891, 29.944286, 8.936140, -58.614117, 22.059504
1, 1, 1, 0.004391, 0.079282, 0.018550, 15, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0019.mat, 127.801308, -134.754761, 120.741386, 19.174192, -69.293251, 63.872810, 3.101652, 5.116758, -66.761833, 63.754433
1, 1, 1, 0.004266, 0.079299, 0.019271, 16, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0081.mat, 128.422089, -152.048294, 105.322144, 17.227901, -18.050257, 43.312523, 41.751247, -18.768934, -70.038635, 55.096302
1, 1, 1, 0.004301, 0.078721, 0.049052, 17, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0078.mat, 110.025345, -130.292114, 92.989090, 13.231606, -34.912872, 51.089111, 34.148746, -3.650900, -66.216583, 41.333408
1, 1, 1, 0.004430, 0.079492, 0.018901, 18, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0027.mat, 78.469261, -98.091324, 62.832027, 6.993440, -13.642015, 31.011620, 35.091045, -8.436134, -48.603481, 25.181507
1, 1, 1, 0.004493, 0.079338, 0.043784, 19, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0015.mat, 109.352165, -143.094437, 86.650093, 4.721303, -29.206320, 53.815334, 60.121616, -3.578314, -77.011688, 22.478416
1, 1, 1, 0.004614, 0.079604, 0.019203, 20, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0056.mat, 119.240173, -137.222626, 102.549469, 16.749628, -40.044170, 54.906815, 29.291765, -3.590242, -68.664017, 50.056587
1, 1, 1, 0.005255, 0.062622, 0.020252, 21, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0069.mat, 65.902504, -76.163651, 58.011070, 8.307819, -32.281925, 37.809048, 15.927971, 4.589960, -41.527542, 24.163982
1, 1, 1, 0.004320, 0.081985, 0.018844, 22, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0042.mat, 68.610878, -86.148163, 56.730202, 4.813926, -25.516066, 37.070576, 30.235607, 1.403105, -47.185024, 17.377640
1, 1, 1, 0.004277, 0.098461, 0.018414, 23, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0034.mat, 104.312691, -124.724045, 91.153511, 9.868591, -57.271027, 66.408829, 32.564194, 12.288935, -71.593140, 30.147991
