robust, target, y_pred, time_setup, time_star, time_verify, line_number, file_path, y1, y2, y3, y4, y5, y6, y7, y8, y9, y10
1, 1, 1, 0.060886, 0.121091, 4.354588, 1, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0026.mat, 20.609486, 2.742841, 0.658429, 0.249223, 11.529634, 8.811295, -7.133877, 3.792550, -0.596496, -3.392505
1, 1, 1, 0.010218, 0.079328, 4.418840, 2, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0001.mat, 37.584068, -0.971082, 2.696457, 26.817669, 24.064716, -16.708061, -20.404324, 23.074671, 12.081257, 0.715067
1, 1, 1, 0.008855, 0.069951, 3.955671, 3, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0039.mat, 28.302841, 16.647333, 1.412877, 19.191420, 10.189640, 10.316474, -11.526573, 18.222075, 12.653537, 6.277644
1, 1, 1, 0.018531, 0.071499, 4.057723, 4, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0035.mat, 31.739828, 2.517135, -4.511262, 11.262112, 0.361039, 7.542692, -21.356707, -17.769800, 22.667120, -4.412996
1, 1, 1, 0.020985, 0.066043, 3.817615, 5, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0053.mat, 27.727198, -1.700665, 0.333668, 13.148318, 8.065360, 10.459820, -10.147537, -28.784750, 13.612020, 11.004125
1, 1, 1, 0.017230, 0.064225, 3.940530, 6, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0048.mat, 28.777710, 19.104292, 9.358181, 1.196692, 8.624847, -3.191882, 10.093864, -5.909289, -5.135490, 22.159618
1, 1, 1, 0.016608, 0.064191, 3.828155, 7, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0044.mat, 18.908318, 8.208337, 10.968596, 1.892373, 7.217370, -3.161505, 4.263346, -2.777467, 3.711358, 6.237455
1, 1, 1, 0.018307, 0.064770, 3.915154, 8, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0059.mat, 20.901476, 4.768583, -14.401760, 10.760668, 16.375664, 0.733727, -19.379881, -4.513057, 4.009470, 11.142445
1, 1, 1, 0.007394, 0.067539, 4.185471, 9, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0072.mat, 27.928730, 2.061098, -5.465889, 21.057808, 8.427433, 11.651805, -10.765752, -8.763108, 11.493147, 16.908939
1, 1, 1, 0.008424, 0.103330, 3.997178, 10, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0016.mat, 26.173769, 15.058268, 15.306360, 17.321598, 12.915958, -17.111132, -16.173672, -10.842225, 10.225792, 5.486131
1, 1, 1, 0.013764, 0.082513, 4.307380, 11, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0010.mat, 27.971088, 4.022023, -6.430743, 7.807568, 14.494799, 20.870670, -10.808168, 2.573526, 3.004337, -1.318596
1, 1, 1, 0.017002, 0.073461, 3.971641, 12, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0079.mat, 26.055862, 13.047832, 11.908463, -0.165326, 10.932404, -9.601490, -0.488677, -7.713815, -2.887885, -1.088201
1, 1, 1, 0.009202, 0.069367, 3.693940, 13, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0049.mat, 38.751911, 27.736469, 16.466045, 19.496414, 7.433934, 17.975683, -5.907904, 17.655725, 14.079926, 10.916485
1, 1, 1, 0.016826, 0.064401, 3.988684, 14, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0080.mat, 33.488731, 7.931110, 3.444630, 13.077061, -3.237655, 1.532192, 19.056049, 3.282955, 5.032409, 16.016134
1, 1, 1, 0.017540, 0.072774, 4.144026, 15, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0019.mat, 32.675735, 3.386336, 0.699483, 25.256968, 2.973125, 13.926965, -11.362408, -16.578573, 19.461969, 16.127834
1, 1, 1, 0.016980, 0.067886, 3.874171, 16, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0081.mat, 40.156357, -36.486530, -21.476645, 14.685191, 17.893103, 2.126413, 18.828682, 19.145742, 25.188913, -8.753366
1, 1, 1, 0.006872, 0.063972, 3.795103, 17, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0078.mat, 17.486227, 7.812109, -5.534890, 1.141204, -6.747313, 9.157916, 7.913875, 5.594060, 1.668169, 5.559082
1, 1, 1, 0.008460, 0.069282, 3.922867, 18, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0027.mat, 43.062416, 10.780205, 24.249985, 33.942806, 23.078892, -6.520274, -14.880881, 27.483530, 10.596438, -27.160280
1, 1, 1, 0.008255, 0.066706, 3.909264, 19, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0015.mat, 35.468102, 19.451443, -3.076377, 1.954561, 16.623585, -13.271050, -8.934246, -5.280304, -5.087529, 11.613689
1, 1, 1, 0.008160, 0.068795, 4.054226, 20, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0056.mat, 12.199532, 4.528203, -7.481541, 1.547542, 9.857592, 6.565816, -9.280695, -2.984148, -0.549258, 6.523064
1, 1, 1, 0.007702, 0.068221, 3.756654, 21, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0069.mat, 16.959709, 3.233479, -0.915974, 10.911499, 5.684833, 3.941763, -3.789634, 8.662990, 7.405764, -0.956806
1, 1, 1, 0.009400, 0.071544, 4.054639, 22, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0042.mat, 30.612387, -4.270008, 8.313439, 17.703508, 15.667698, -8.040856, -14.387829, 2.902661, 10.263737, -14.150505
1, 1, 1, 0.016691, 0.066490, 3.837581, 23, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0034.mat, 27.862379, 21.223114, -1.229769, -0.499160, -6.738437, -10.058849, 10.216795, -9.946568, 2.655012, 22.383530
1, 1, 1, 0.016990, 0.063830, 4.156126, 24, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0006.mat, 41.127365, 30.745689, 10.676394, -21.722324, -0.858424, -1.605593, 36.963264, -9.011837, -18.756405, 28.477329
1, 1, 1, 0.008084, 0.065086, 4.161423, 25, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0047.mat, 34.586086, 16.409172, 20.018541, 24.288486, -1.987014, 14.094563, 4.555908, 0.839924, 19.505119, 13.686186
1, 1, 1, 0.016293, 0.069177, 4.594559, 26, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0020.mat, 25.690233, 12.714526, 4.112335, 5.413018, 6.242308, 10.999302, -14.098839, -25.187674, 14.585367, 10.235750
1, 1, 1, 0.017762, 0.070989, 4.789257, 27, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0012.mat, 21.482565, -1.303725, -8.481708, 8.193895, 1.480956, 10.918600, -18.485062, -20.271406, 15.159595, 5.824359
1, 1, 1, 0.006903, 0.069273, 4.290228, 28, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0021.mat, 17.672161, -12.709813, 2.711790, 16.647520, 1.522592, 6.881058, -0.900561, 11.066408, 12.152252, -14.809867
1, 1, 1, 0.008911, 0.069505, 4.800248, 29, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0014.mat, 47.659630, 31.698231, 33.545963, 33.189205, 21.023491, 2.196302, -3.031690, 20.059036, 13.747460, 13.839862
1, 1, 1, 0.006936, 0.063858, 3.966262, 30, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0068.mat, 19.125540, 6.347511, 3.077106, 0.078220, 11.231905, 2.633177, -6.581282, -12.803544, 6.072601, -0.068126
1, 1, 1, 0.017653, 0.066073, 3.940937, 31, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0045.mat, 18.438944, 2.401863, -4.213996, 6.153311, -7.524822, 14.003707, -6.818857, -23.778095, 14.545124, 8.231777
