robust, target, y_pred, time_setup, time_star, time_verify, line_number, file_path, y1, y2, y3, y4, y5, y6, y7, y8, y9, y10
1, 1, 1, 0.018664, 0.118889, 0.135604, 1, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0026.mat, 86.756668, 41.430298, 84.439865, -75.315994, 9.154851, 22.360640, -36.904537, 21.525135, -66.562592, -30.504169
1, 1, 1, 0.006717, 0.098712, 0.056559, 2, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0001.mat, 135.675262, 54.971905, 132.513977, -123.663986, 8.198493, 41.547115, -56.048470, 27.775656, -105.561066, -49.645126
1, 1, 1, 0.006850, 0.097564, 0.072097, 3, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0039.mat, 76.370514, 34.459675, 74.586380, -66.057800, 6.165317, 22.351551, -31.210629, 18.493584, -57.052166, -33.022114
1, 1, 1, 0.007849, 0.100321, 0.059336, 4, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0035.mat, 121.936462, 54.848991, 119.025017, -105.453201, 9.723380, 35.700138, -49.716492, 29.505587, -90.996986, -52.895958
1, 1, 1, 0.008944, 0.095971, 0.090851, 5, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0053.mat, 108.007782, 25.132872, 106.223595, -113.221054, -3.597571, 42.897358, -43.828621, 9.008548, -91.329033, -29.801180
1, 1, 1, 0.008508, 0.102703, 0.043834, 6, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0048.mat, 121.088074, 43.789150, 119.006897, -95.734390, 17.643040, 43.957348, -50.212860, 3.742403, -82.873848, -30.616459
1, 1, 1, 0.007999, 0.106850, 0.040823, 7, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0044.mat, 113.726608, 64.489662, 109.438133, -99.951416, 21.567736, 15.909330, -54.839893, 30.510349, -95.043144, -8.922451
1, 1, 1, 0.005726, 0.097558, 0.041155, 8, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0059.mat, 123.351532, 63.801453, 119.417755, -107.674065, 17.635218, 25.251469, -55.575874, 31.715111, -98.400848, -28.274342
1, 1, 1, 0.008969, 0.101070, 0.078113, 9, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0072.mat, 108.038773, 49.981548, 105.310783, -93.599556, 9.905371, 29.864241, -44.930588, 26.450260, -81.675171, -42.734753
1, 1, 1, 0.006214, 0.094992, 0.047528, 10, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0016.mat, 123.751266, 55.497639, 119.672546, -114.926895, 21.364487, 25.012959, -60.361015, 15.268657, -106.265457, 9.253346
1, 1, 1, 0.006053, 0.109078, 0.066564, 11, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0010.mat, 136.193466, 63.157181, 132.135178, -124.391235, 15.405488, 31.891243, -60.873474, 30.039745, -111.164200, -28.372850
1, 1, 1, 0.007674, 0.104014, 0.045945, 12, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0079.mat, 112.457733, 52.604626, 109.543793, -97.497520, 10.855959, 30.315590, -47.135464, 27.663155, -85.459984, -42.703110
1, 1, 1, 0.006166, 0.100129, 0.056946, 13, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0049.mat, 116.895782, 54.059162, 113.935104, -101.270866, 10.704236, 32.309559, -48.600372, 28.616426, -88.360588, -46.250793
1, 1, 1, 0.006097, 0.095828, 0.046428, 14, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0080.mat, 92.682770, 45.763821, 90.019760, -80.641212, 11.194675, 21.900642, -40.379646, 23.334839, -72.260918, -27.986721
1, 1, 1, 0.005985, 0.093128, 0.041833, 15, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0019.mat, 114.290298, 52.384514, 110.566628, -108.979218, 14.359314, 23.623306, -53.724335, 22.619564, -98.713760, -7.562047
1, 1, 1, 0.007224, 0.100455, 0.051004, 16, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0081.mat, 121.649109, 27.383530, 118.511513, -140.801392, 1.516280, 37.645741, -57.842472, 2.116819, -119.420685, 18.446491
1, 1, 1, 0.006736, 0.093577, 0.055757, 17, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0078.mat, 117.798569, 60.867813, 114.154015, -99.801575, 18.631044, 25.015232, -52.944450, 27.830700, -91.642708, -26.506329
1, 1, 1, 0.007558, 0.102104, 0.057862, 18, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0027.mat, 140.267624, 63.123962, 136.894073, -121.310623, 11.222646, 40.975777, -57.207359, 33.951954, -104.708206, -60.671650
1, 1, 1, 0.005838, 0.104651, 0.040939, 19, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0015.mat, 78.275436, 46.934414, 75.064827, -69.098206, 17.212852, 7.733243, -39.367184, 21.562981, -67.342033, 1.406685
1, 1, 1, 0.009134, 0.093551, 0.045636, 20, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0056.mat, 74.238464, 38.456165, 71.919548, -64.808006, 10.641153, 15.262627, -33.489464, 19.089640, -59.242363, -17.073433
1, 1, 1, 0.005720, 0.095929, 0.056169, 21, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0069.mat, 131.456711, 58.456978, 128.413452, -112.800377, 10.349355, 39.555275, -53.144493, 31.008120, -96.983147, -58.837395
1, 1, 1, 0.007207, 0.098424, 0.056081, 22, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0042.mat, 92.835533, 58.738861, 88.773758, -82.096123, 23.410858, 5.521235, -48.074234, 26.527523, -81.857162, 10.657535
1, 1, 1, 0.006816, 0.104284, 0.040194, 23, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0034.mat, 124.903969, 57.627350, 121.746964, -108.192749, 11.315294, 34.675434, -51.843102, 30.548361, -94.314751, -49.789772
2, 1, 1, 0.007107, 0.094929, 0.053550, 24, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0006.mat, 127.642799, -21.795414, 127.486298, -174.300308, -32.340862, 77.887451, -49.374931, -25.370838, -127.696327, -9.285461
1, 1, 1, 0.005831, 0.099930, 0.035478, 25, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0047.mat, 133.097031, 25.955618, 131.594833, -130.061722, -0.773650, 60.045353, -52.278790, -0.902909, -103.462029, -38.198917
1, 1, 1, 0.006126, 0.097761, 0.054105, 26, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0020.mat, 124.157341, 46.520340, 121.379021, -114.639236, 8.066061, 39.486488, -52.082268, 19.368013, -97.748001, -36.453800
1, 1, 1, 0.005747, 0.100238, 0.049031, 27, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0012.mat, 149.051834, 63.260395, 146.504211, -110.300140, 19.479698, 53.341648, -57.817139, 20.537563, -94.650078, -71.756577
1, 1, 1, 0.008549, 0.102872, 0.055715, 28, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0021.mat, 112.437241, 66.584900, 107.943466, -96.709656, 25.473539, 12.694651, -55.939869, 28.818409, -94.274040, 0.320782
1, 1, 1, 0.006706, 0.102867, 0.035831, 29, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0014.mat, 112.187622, 26.773127, 110.243141, -117.757706, -3.075788, 43.607929, -45.996964, 9.468883, -95.469971, -28.614656
1, 1, 1, 0.005616, 0.093457, 0.035245, 30, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0068.mat, 138.124451, 55.220901, 135.025742, -121.005180, 12.894317, 43.243675, -57.803703, 21.294018, -104.395973, -42.567471
1, 1, 1, 0.005981, 0.095970, 0.036363, 31, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0045.mat, 104.754501, 47.953819, 102.889687, -68.784309, 22.559320, 35.470802, -42.581238, 7.804615, -62.258183, -37.856670
1, 1, 1, 0.007451, 0.100043, 0.070643, 32, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0031.mat, 106.955185, 39.870930, 105.722305, -73.729332, 16.462431, 44.164745, -40.660522, 3.565425, -62.421043, -48.445206
1, 1, 1, 0.012556, 0.100932, 0.052234, 33, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0057.mat, 98.381851, 36.517006, 97.117355, -74.169830, 10.191026, 39.664989, -36.965790, 9.533824, -61.666763, -50.111504
